station_end,station_start,timestamp_duration,timestamp_end,timestamp_start,lat_lng_start,lat_lng_end,driving_distance,driving_predicted_duration,bicycling_distance,bicycling_predicted_duration,subway_distance,subway_predicted_duration,duration
E 55 St & 3 Ave,Central Park West & W 100 St,20 min 52 s,2017-03-22 09:25:10,2017-03-22 09:04:18,"40.793393,-73.9635556","40.7589965596,-73.9686539769",5267,1136,5615,1373,5267,1136,1252.0
Central Park West & W 100 St,Central Park North & Adam Clayton Powell Blvd,26 min 27 s,2017-03-21 17:26:28,2017-03-21 17:00:01,"40.799484,-73.955613","40.793393,-73.9635556",1233,303,1118,305,1233,303,1587.0
W 100 St & Manhattan Ave,W 106 St & Amsterdam Ave,2 min 53 s,2017-03-20 21:45:45,2017-03-20 21:42:52,"40.8008363,-73.9664492472","40.795,-73.9645",933,202,933,231,933,202,173.0
Central Park West & W 100 St,W 54 St & 9 Ave,20 min 8 s,2017-03-19 23:09:05,2017-03-19 22:48:57,"40.76584941,-73.98690506","40.793393,-73.9635556",3915,919,3915,901,3915,919,1208.0
Mercer St & Bleecker St,5 Ave & E 78 St,26 min 1 s,2017-03-19 15:01:59,2017-03-19 14:35:58,"40.7763214218,-73.9642739296","40.7270636335,-73.9966213703",10592,1567,8048,1726,10592,1567,1561.0
E 78 St & 2 Ave,Central Park West & W 100 St,29 min 35 s,2017-03-19 13:28:26,2017-03-19 12:58:51,"40.793393,-73.9635556","40.7727966,-73.95577801",3253,791,3253,761,3253,791,1775.0
Douglass St & 3 Ave,Grand Army Plaza & Plaza St West,7 min 0 s,2017-03-18 15:23:01,2017-03-18 15:16:01,"40.6729679,-73.97087984","40.6802133,-73.98432695",1620,450,1501,295,1620,450,420.0
Central Park West & W 100 St,Central Park West & W 100 St,22 min 28 s,2017-03-13 18:16:10,2017-03-13 17:53:42,"40.793393,-73.9635556","40.793393,-73.9635556",0,0,0,0,0,0,1348.0
W 100 St & Manhattan Ave,W 106 St & Amsterdam Ave,3 min 22 s,2017-03-13 17:37:08,2017-03-13 17:33:46,"40.8008363,-73.9664492472","40.795,-73.9645",933,202,933,231,933,202,202.0
Central Park West & W 100 St,Broadway & W 60 St,12 min 58 s,2017-03-12 15:26:56,2017-03-12 15:13:58,"40.76915505,-73.98191841","40.793393,-73.9635556",3212,731,3212,750,3212,731,778.0
Schermerhorn St & Bond St,Bond St & Bergen St,2 min 12 s,2017-03-10 08:53:28,2017-03-10 08:51:16,"40.6849668,-73.98620772","40.6884174275,-73.984516561",456,164,456,151,456,164,132.0
Bond St & Bergen St,Schermerhorn St & Bond St,2 min 30 s,2017-03-09 18:14:48,2017-03-09 18:12:18,"40.6884174275,-73.984516561","40.6849668,-73.98620772",895,281,895,195,895,281,150.0
Central Park West & W 100 St,Central Park North & Adam Clayton Powell Blvd,27 min 19 s,2017-03-09 16:52:41,2017-03-09 16:25:22,"40.799484,-73.955613","40.793393,-73.9635556",1233,303,1118,305,1233,303,1639.0
Warren St & Court St,Grand Army Plaza & Plaza St West,13 min 2 s,2017-03-08 19:26:43,2017-03-08 19:13:41,"40.6729679,-73.97087984","40.686371,-73.99383324",3224,847,3106,630,3224,847,782.0
W 82 St & Central Park West,Central Park West & W 100 St,4 min 45 s,2017-03-07 18:00:42,2017-03-07 17:55:57,"40.793393,-73.9635556","40.78275,-73.97137",1884,397,1926,435,1884,397,285.0
Central Park West & W 100 St,Central Park North & Adam Clayton Powell Blvd,27 min 28 s,2017-03-07 17:23:17,2017-03-07 16:55:49,"40.799484,-73.955613","40.793393,-73.9635556",1233,303,1118,305,1233,303,1648.0
Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,0 min 9 s,2017-03-07 16:55:32,2017-03-07 16:55:23,"40.799484,-73.955613","40.799484,-73.955613",0,0,0,0,0,0,9.0
Schermerhorn St & Bond St,Bond St & Bergen St,1 min 22 s,2017-03-05 19:29:10,2017-03-05 19:27:48,"40.6849668,-73.98620772","40.6884174275,-73.984516561",456,164,456,151,456,164,82.0
3 St & 3 Ave,Grand Army Plaza & Plaza St West,10 min 50 s,2017-03-04 15:59:14,2017-03-04 15:48:24,"40.6729679,-73.97087984","40.6750705,-73.98775226",1821,455,2017,415,1821,455,650.0
Plaza St West & Flatbush Ave,Douglass St & 3 Ave,8 min 4 s,2017-03-04 13:17:27,2017-03-04 13:09:23,"40.6802133,-73.98432695","40.6750207,-73.97111473",1284,407,1589,479,1284,407,484.0
Fulton St & Broadway,Central Park West & W 100 St,39 min 53 s,2017-03-03 09:06:13,2017-03-03 08:26:20,"40.793393,-73.9635556","40.711066,-74.009447",14314,1648,12824,2507,14314,1648,2393.0
Central Park West & W 100 St,W 100 St & Manhattan Ave,25 min 31 s,2017-02-28 17:29:57,2017-02-28 17:04:26,"40.795,-73.9645","40.793393,-73.9635556",273,73,273,78,273,73,1531.0
W 100 St & Manhattan Ave,W 100 St & Broadway,3 min 5 s,2017-02-27 00:29:06,2017-02-27 00:26:01,"40.7973721,-73.97041192","40.795,-73.9645",565,168,565,173,565,168,185.0
W 100 St & Broadway,W 100 St & Manhattan Ave,4 min 18 s,2017-02-26 20:47:59,2017-02-26 20:43:41,"40.795,-73.9645","40.7973721,-73.97041192",1549,446,1443,338,1549,446,258.0
Water - Whitehall Plaza,Fulton St & William St,6 min 9 s,2017-02-26 13:53:23,2017-02-26 13:47:14,"40.70955958,-74.00653609","40.70255065,-74.0127234",1452,494,1330,241,1452,494,369.0
W 26 St & 8 Ave,St Marks Pl & 2 Ave,23 min 47 s,2017-02-25 15:31:33,2017-02-25 15:07:46,"40.7284186,-73.98713956","40.74734825,-73.99723551",4605,1263,3544,924,4605,1263,1427.0
St Marks Pl & 2 Ave,Central Park West & W 100 St,42 min 43 s,2017-02-25 12:38:04,2017-02-25 11:55:21,"40.793393,-73.9635556","40.7284186,-73.98713956",10136,1468,9619,2144,10136,1468,2563.0
W 100 St & Manhattan Ave,Central Park West & W 100 St,25 min 1 s,2017-02-25 11:03:19,2017-02-25 10:38:18,"40.793393,-73.9635556","40.795,-73.9645",1282,273,385,85,1282,273,1501.0
Central Park West & W 100 St,9 Ave & W 45 St,16 min 56 s,2017-02-12 16:27:29,2017-02-12 16:10:33,"40.76019252,-73.9912551","40.793393,-73.9635556",6529,983,4797,1080,6529,983,1016.0
9 Ave & W 45 St,Central Park W & W 96 St,20 min 28 s,2017-02-12 13:54:11,2017-02-12 13:33:43,"40.79127,-73.964839","40.76019252,-73.9912551",4375,952,4377,881,4375,952,1228.0
Myrtle Ave & Lewis Ave,Douglass St & 3 Ave,20 min 27 s,2017-02-11 21:18:16,2017-02-11 20:57:49,"40.6802133,-73.98432695","40.69681963,-73.93756926",5078,1250,5098,1238,5078,1250,1227.0
Central Park West & W 100 St,W 41 St & 8 Ave,20 min 58 s,2017-02-10 16:19:01,2017-02-10 15:58:03,"40.75640548,-73.9900262","40.793393,-73.9635556",6905,1098,4737,1064,6905,1098,1258.0
Schermerhorn St & Bond St,Bond St & Bergen St,2 min 3 s,2017-02-06 08:03:16,2017-02-06 08:01:13,"40.6849668,-73.98620772","40.6884174275,-73.984516561",456,164,456,151,456,164,123.0
Bond St & Bergen St,Schermerhorn St & Bond St,1 min 27 s,2017-02-05 22:26:43,2017-02-05 22:25:16,"40.6884174275,-73.984516561","40.6849668,-73.98620772",895,281,895,195,895,281,87.0
Schermerhorn St & Bond St,Bond St & Bergen St,2 min 3 s,2017-02-05 22:08:51,2017-02-05 22:06:48,"40.6849668,-73.98620772","40.6884174275,-73.984516561",456,164,456,151,456,164,123.0
Hoyt St & Warren St,Rivington St & Chrystie St,22 min 54 s,2017-02-03 18:31:26,2017-02-03 18:08:32,"40.72110063,-73.9919254","40.6843549,-73.98901629",5150,1014,4879,1117,5150,1014,1374.0
Rivington St & Chrystie St,E 58 St & 3 Ave,27 min 34 s,2017-02-03 18:03:07,2017-02-03 17:35:33,"40.76095756,-73.96724467","40.72110063,-73.9919254",5124,1185,5155,1149,5124,1185,1654.0
E 58 St & 3 Ave,Central Park West & W 100 St,18 min 45 s,2017-02-03 17:19:32,2017-02-03 17:00:47,"40.793393,-73.9635556","40.76095756,-73.96724467",4829,1010,5177,1239,4829,1010,1125.0
Central Park S & 6 Ave,Central Park West & W 100 St,17 min 4 s,2017-01-29 10:09:11,2017-01-29 09:52:07,"40.793393,-73.9635556","40.76590936,-73.97634151",4471,950,4214,956,4471,950,1024.0
Central Park West & W 100 St,W 63 St & Broadway,13 min 5 s,2017-01-28 23:49:39,2017-01-28 23:36:34,"40.77163851,-73.98261428","40.793393,-73.9635556",3517,843,3517,880,3517,843,785.0
E 39 St & 3 Ave,Mercer St & Spring St,25 min 15 s,2017-01-28 17:40:39,2017-01-28 17:15:24,"40.72362738,-73.99949601","40.7489006,-73.97604882",3862,1036,4793,1132,3862,1036,1515.0
E 11 St & 2 Ave,W 44 St & 5 Ave,22 min 0 s,2017-01-28 13:22:36,2017-01-28 13:00:36,"40.75500254,-73.98014437","40.73047309,-73.98672378",3498,963,3529,785,3498,963,1320.0
W 52 St & 5 Ave,Central Park West & W 100 St,20 min 20 s,2017-01-28 10:51:30,2017-01-28 10:31:10,"40.793393,-73.9635556","40.75992262,-73.97648516",4864,1244,5041,1142,4864,1244,1220.0
Central Park West & W 100 St,Central Park S & 6 Ave,16 min 42 s,2017-01-27 23:00:33,2017-01-27 22:43:51,"40.76590936,-73.97634151","40.793393,-73.9635556",3702,828,3702,855,3702,828,1002.0
W 37 St & 5 Ave,Central Park West & W 100 St,22 min 2 s,2017-01-27 17:31:33,2017-01-27 17:09:31,"40.793393,-73.9635556","40.75038009,-73.98338988",5928,1334,6448,1439,5928,1334,1322.0
Central Park West & W 100 St,8 Ave & W 52 St,15 min 30 s,2017-01-26 22:42:04,2017-01-26 22:26:34,"40.76370739,-73.9851615","40.793393,-73.9635556",3807,849,3807,849,3807,849,930.0
9 Ave & W 45 St,8 Ave & W 33 St,6 min 29 s,2017-01-26 19:22:13,2017-01-26 19:15:44,"40.751551,-73.993934","40.76019252,-73.9912551",1259,477,1259,310,1259,477,389.0
E 11 St & 1 Ave,Central Park West & W 100 St,34 min 6 s,2017-01-26 17:05:57,2017-01-26 16:31:51,"40.793393,-73.9635556","40.72953837,-73.98426726",10195,1505,9752,2213,10195,1505,2046.0
Broadway & W 60 St,Central Park West & W 100 St,21 min 59 s,2017-01-26 11:27:13,2017-01-26 11:05:14,"40.793393,-73.9635556","40.76915505,-73.98191841",3844,851,4282,967,3844,851,1319.0
Central Park West & W 100 St,E 97 St & 3 Ave,8 min 28 s,2017-01-19 23:44:15,2017-01-19 23:35:47,"40.7859201,-73.94860294","40.793393,-73.9635556",1625,369,2311,668,1625,369,508.0
Central Park West & W 100 St,Greenwich Ave & 8 Ave,26 min 53 s,2017-01-16 20:49:24,2017-01-16 20:22:31,"40.7390169121,-74.0026376103","40.793393,-73.9635556",8750,1426,6987,1530,8750,1426,1613.0
W 22 St & 8 Ave,W 42 St & 8 Ave,10 min 39 s,2017-01-16 14:12:52,2017-01-16 14:02:13,"40.7575699,-73.99098507","40.74475148,-73.99915362",2027,519,2027,450,2027,519,639.0
W 42 St & Dyer Ave,W 42 St & Dyer Ave,4 min 28 s,2017-01-16 13:56:13,2017-01-16 13:51:45,"40.758984814,-73.9937996864","40.758984814,-73.9937996864",0,0,0,0,0,0,268.0
W 43 St & 10 Ave,E 41 St & 5 Ave,8 min 22 s,2017-01-16 12:08:08,2017-01-16 11:59:46,"40.7527220138,-73.9812362194","40.76009437,-73.99461843",1835,631,1835,477,1835,631,502.0
E 41 St & 5 Ave,Central Park West & W 102 St,25 min 52 s,2017-01-16 11:05:56,2017-01-16 10:40:04,"40.795346,-73.96186","40.7527220138,-73.9812362194",5872,1295,6356,1432,5872,1295,1552.0
Central Park West & W 100 St,W 84 St & Columbus Ave,6 min 29 s,2017-01-15 11:29:58,2017-01-15 11:23:29,"40.78499979,-73.97283406","40.793393,-73.9635556",1433,326,1433,344,1433,326,389.0
W 76 St & Columbus Ave,Central Park West & W 100 St,8 min 13 s,2017-01-15 10:39:44,2017-01-15 10:31:31,"40.793393,-73.9635556","40.7801839724,-73.9772853255",2788,618,2196,520,2788,618,493.0
Central Park North & Adam Clayton Powell Blvd,Central Park West & W 102 St,5 min 9 s,2017-01-14 12:07:27,2017-01-14 12:02:18,"40.795346,-73.96186","40.799484,-73.955613",900,188,900,147,900,188,309.0
Central Park West & W 100 St,1 Ave & E 68 St,22 min 21 s,2017-01-13 19:15:25,2017-01-13 18:53:04,"40.76500525,-73.95818491","40.793393,-73.9635556",4466,852,4573,1148,4466,852,1341.0
1 Ave & E 68 St,E 41 St & 5 Ave,11 min 22 s,2017-01-13 15:38:12,2017-01-13 15:26:50,"40.7527220138,-73.9812362194","40.76500525,-73.95818491",3341,847,3169,810,3341,847,682.0
Pershing Square North,Central Park West & W 102 St,24 min 57 s,2017-01-13 11:33:18,2017-01-13 11:08:21,"40.795346,-73.96186","40.751873,-73.977706",8622,1420,6718,1526,8622,1420,1497.0
