station_end,station_start,timestamp_duration,timestamp_end,timestamp_start,lat_lng_start,lat_lng_end,driving_distance,driving_predicted_duration,bicycling_distance,bicycling_predicted_duration,subway_distance,subway_predicted_duration,duration
Central Park West & W 100 St,W 100 St & Manhattan Ave,18 min 47 s,2017-06-18 11:25:49,2017-06-18 11:07:02,"40.795,-73.9645","40.793393,-73.9635556",273,73,273,78,273,73,1127.0
Hoyt St & Warren St,Kent Ave & N 7 St,22 min 22 s,2017-06-17 20:43:49,2017-06-17 20:21:27,"40.720367753,-73.9616507292","40.6843549,-73.98901629",7547,1353,6625,1438,7547,1353,1342.0
Kent Ave & N 7 St,Bond St & Bergen St,30 min 20 s,2017-06-17 17:35:14,2017-06-17 17:04:54,"40.6849668,-73.98620772","40.720367753,-73.9616507292",8727,1311,6364,1518,8727,1311,1820.0
Hoyt St & Warren St,W 41 St & 8 Ave,42 min 24 s,2017-06-16 18:17:48,2017-06-16 17:35:24,"40.75640548,-73.9900262","40.6843549,-73.98901629",12736,1826,10633,2262,12736,1826,2544.0
W 43 St & 6 Ave,W 106 St & Central Park West,16 min 17 s,2017-06-16 09:28:40,2017-06-16 09:12:23,"40.7981856,-73.9605909006","40.75527307,-73.98316936",6335,1410,6191,1464,6335,1410,977.0
W 100 St & Manhattan Ave,W 34 St & 11 Ave,25 min 12 s,2017-06-15 21:52:40,2017-06-15 21:27:28,"40.75594159,-74.0021163","40.795,-73.9645",6534,940,7405,1531,6534,940,1512.0
9 Ave & W 18 St,W 100 St & Manhattan Ave,25 min 50 s,2017-06-15 17:55:07,2017-06-15 17:29:17,"40.795,-73.9645","40.74317449,-74.00366443",9118,1365,6961,1450,9118,1365,1550.0
Cathedral Pkwy & Broadway,W 84 St & Columbus Ave,8 min 40 s,2017-06-14 16:11:27,2017-06-14 16:02:47,"40.78499979,-73.97283406","40.804213,-73.96699104",3202,682,2874,682,3202,682,520.0
W 84 St & Broadway,Cathedral Pkwy & Broadway,6 min 58 s,2017-06-14 15:06:35,2017-06-14 14:59:37,"40.804213,-73.96699104","40.7867947,-73.977112",2207,572,2293,528,2207,572,418.0
Central Park West & W 100 St,Central Park West & W 72 St,10 min 26 s,2017-06-11 21:05:10,2017-06-11 20:54:44,"40.7757937668,-73.9762057364","40.793393,-73.9635556",2228,464,2228,493,2228,464,626.0
Fulton St & Adams St,Bond St & Bergen St,6 min 51 s,2017-06-11 11:02:36,2017-06-11 10:55:45,"40.6849668,-73.98620772","40.6924182926,-73.989494741",1200,329,1208,419,1200,329,411.0
Hoyt St & Warren St,Berry St & N 8 St,25 min 21 s,2017-06-10 23:25:40,2017-06-10 23:00:19,"40.7190095,-73.95852515","40.6843549,-73.98901629",7203,1256,7011,1522,7203,1256,1521.0
Berry St & N 8 St,Bond St & Bergen St,18 min 53 s,2017-06-10 18:16:16,2017-06-10 17:57:23,"40.6849668,-73.98620772","40.7190095,-73.95852515",7135,1272,6707,1594,7135,1272,1133.0
Hoyt St & Warren St,Bond St & Fulton St,4 min 39 s,2017-06-10 09:06:14,2017-06-10 09:01:35,"40.6896218879,-73.9830426872","40.6843549,-73.98901629",957,309,979,233,957,309,279.0
Amsterdam Ave & W 73 St,W 87 St & Amsterdam Ave,4 min 41 s,2017-06-10 08:31:17,2017-06-10 08:26:36,"40.78839,-73.9747","40.7796680901,-73.9809304476",1563,457,1921,466,1563,457,281.0
W 87 St & Amsterdam Ave,W 100 St & Manhattan Ave,5 min 22 s,2017-06-10 07:56:42,2017-06-10 07:51:20,"40.795,-73.9645","40.78839,-73.9747",1771,412,1664,379,1771,412,322.0
Carmine St & 6 Ave,Cleveland Pl & Spring St,5 min 49 s,2017-06-09 18:23:38,2017-06-09 18:17:49,"40.7221037867,-73.9972490072","40.73038599,-74.00214988",1476,462,1409,320,1476,462,349.0
Cleveland Pl & Spring St,Cathedral Pkwy & Broadway,38 min 18 s,2017-06-09 17:50:38,2017-06-09 17:12:20,"40.804213,-73.96699104","40.7221037867,-73.9972490072",14506,2167,12081,2309,14506,2167,2298.0
W 100 St & Manhattan Ave,W 106 St & Amsterdam Ave,4 min 5 s,2017-06-07 17:42:15,2017-06-07 17:38:10,"40.8008363,-73.9664492472","40.795,-73.9645",933,202,933,231,933,202,245.0
2 Ave & E 96 St,Central Park West & W 100 St,8 min 39 s,2017-06-04 10:35:53,2017-06-04 10:27:14,"40.793393,-73.9635556","40.7839636,-73.9471673",2000,462,2000,496,2000,462,519.0
Central Park West & W 100 St,E 30 St & Park Ave S,32 min 35 s,2017-06-03 22:05:35,2017-06-03 21:33:00,"40.74444921,-73.98303529","40.793393,-73.9635556",7243,1484,6926,1628,7243,1484,1955.0
Franklin St & W Broadway,W 100 St & Manhattan Ave,31 min 41 s,2017-06-03 13:21:56,2017-06-03 12:50:15,"40.795,-73.9645","40.71911552,-74.00666661",11838,1709,12104,2388,11838,1709,1901.0
Central Park West & W 100 St,Central Park West & W 100 St,1 h 5 min 23 s,2017-06-01 19:52:04,2017-06-01 18:46:41,"40.793393,-73.9635556","40.793393,-73.9635556",0,0,0,0,0,0,3923.0
Central Park West & W 100 St,Mercer St & Bleecker St,32 min 4 s,2017-05-31 20:27:42,2017-05-31 19:55:38,"40.7270636335,-73.9966213703","40.793393,-73.9635556",10866,1708,9214,1989,10866,1708,1924.0
Hoyt St & Warren St,Willoughby St & Fleet St,5 min 9 s,2017-05-27 10:04:08,2017-05-27 09:58:59,"40.69196566,-73.9813018","40.6843549,-73.98901629",1292,466,1316,314,1292,466,309.0
2 Ave & E 96 St,Central Park W & W 96 St,6 min 5 s,2017-05-27 09:23:51,2017-05-27 09:17:46,"40.79127,-73.964839","40.7839636,-73.9471673",1831,422,1831,425,1831,422,365.0
Cathedral Pkwy & Broadway,W 100 St & Manhattan Ave,5 min 30 s,2017-05-24 05:04:37,2017-05-24 04:59:07,"40.795,-73.9645","40.804213,-73.96699104",1545,388,1542,391,1545,388,330.0
Central Park West & W 100 St,E 47 St & Park Ave,22 min 24 s,2017-05-22 22:26:03,2017-05-22 22:03:39,"40.75510267,-73.97498696","40.793393,-73.9635556",5395,1067,5426,1281,5395,1067,1344.0
E 53 St & Madison Ave,Cathedral Pkwy & Broadway,23 min 57 s,2017-05-22 17:53:19,2017-05-22 17:29:22,"40.804213,-73.96699104","40.7597108,-73.97402311",8123,1416,6750,1565,8123,1416,1437.0
Schermerhorn St & Bond St,Hoyt St & Warren St,4 min 58 s,2017-05-21 22:14:41,2017-05-21 22:09:43,"40.6843549,-73.98901629","40.6884174275,-73.984516561",944,316,818,216,944,316,298.0
Atlantic Ave & Furman St,Lawrence St & Willoughby St,6 min 41 s,2017-05-21 16:04:27,2017-05-21 15:57:46,"40.69236178,-73.98631746","40.69165183,-73.9999786",3752,621,1548,455,3752,621,401.0
Central Park West & W 100 St,Pershing Square North,19 min 47 s,2017-05-20 17:22:26,2017-05-20 17:02:39,"40.751873,-73.977706","40.793393,-73.9635556",5858,1138,5836,1348,5858,1138,1187.0
Pershing Square North,Bond St & Bergen St,33 min 59 s,2017-05-20 10:05:45,2017-05-20 09:31:46,"40.6849668,-73.98620772","40.751873,-73.977706",11956,1406,9288,2167,11956,1406,2039.0
Bond St & Bergen St,Fulton St & Waverly Ave,9 min 17 s,2017-05-19 21:03:33,2017-05-19 20:54:16,"40.6832386546,-73.9659959078","40.6849668,-73.98620772",2524,638,2333,551,2524,638,557.0
Dean St & 4 Ave,Degraw St & Smith St,5 min 6 s,2017-05-16 21:20:54,2017-05-16 21:15:48,"40.6829151,-73.99318208","40.68312489,-73.97895137",1612,423,1615,361,1612,423,306.0
Degraw St & Smith St,Cleveland Pl & Spring St,25 min 11 s,2017-05-16 18:48:12,2017-05-16 18:23:01,"40.7221037867,-73.9972490072","40.6829151,-73.99318208",5474,1123,6084,1279,5474,1123,1511.0
6 Ave & Canal St,St James Pl & Oliver St,6 min 35 s,2017-05-15 23:20:48,2017-05-15 23:14:13,"40.71307916,-73.99851193","40.72243797,-74.00566443",1965,610,1400,383,1965,610,395.0
Division St & Bowery,Rivington St & Chrystie St,4 min 6 s,2017-05-15 18:43:05,2017-05-15 18:38:59,"40.72110063,-73.9919254","40.71413089,-73.9970468",1112,418,1150,318,1112,418,246.0
Stanton St & Chrystie St,W 106 St & Amsterdam Ave,32 min 4 s,2017-05-15 18:34:45,2017-05-15 18:02:41,"40.8008363,-73.9664492472","40.72229346,-73.99147535",13194,1772,10474,2393,13194,1772,1924.0
W 95 St & Broadway,W 100 St & Manhattan Ave,5 min 49 s,2017-05-13 11:55:56,2017-05-13 11:50:07,"40.795,-73.9645","40.7937704,-73.971888",1595,462,1485,375,1595,462,349.0
W 100 St & Manhattan Ave,W 106 St & Amsterdam Ave,3 min 10 s,2017-05-12 19:37:54,2017-05-12 19:34:44,"40.8008363,-73.9664492472","40.795,-73.9645",933,202,933,231,933,202,190.0
Forsyth St & Canal St,Bond St & Bergen St,17 min 8 s,2017-05-08 07:33:18,2017-05-08 07:16:10,"40.6849668,-73.98620772","40.7158155,-73.99422366",4411,814,4201,910,4411,814,1028.0
Bond St & Bergen St,Schermerhorn St & Bond St,1 min 21 s,2017-05-07 18:23:25,2017-05-07 18:22:04,"40.6884174275,-73.984516561","40.6849668,-73.98620772",895,281,895,195,895,281,81.0
W 63 St & Broadway,Central Park West & W 100 St,16 min 23 s,2017-05-07 13:18:26,2017-05-07 13:02:03,"40.793393,-73.9635556","40.77163851,-73.98261428",3142,771,3242,795,3142,771,983.0
S 5 Pl & S 4 St,Madison St & Montgomery St,18 min 16 s,2017-05-06 11:30:37,2017-05-06 11:12:21,"40.713126,-73.984844","40.710451,-73.960876",3621,606,3003,620,3621,606,1096.0
Madison St & Montgomery St,Lafayette St & Jersey St,11 min 17 s,2017-05-06 10:49:43,2017-05-06 10:38:26,"40.7243052725,-73.9960098267","40.713126,-73.984844",2238,714,2481,689,2238,714,677.0
Cleveland Pl & Spring St,W 16 St & The High Line,11 min 31 s,2017-05-06 10:30:35,2017-05-06 10:19:04,"40.74334935,-74.00681753","40.7221037867,-73.9972490072",3340,1045,3000,725,3340,1045,691.0
W 16 St & The High Line,W 100 St & Manhattan Ave,30 min 3 s,2017-05-06 09:14:39,2017-05-06 08:44:36,"40.795,-73.9645","40.74334935,-74.00681753",8957,1285,7552,1600,8957,1285,1803.0
Cathedral Pkwy & Broadway,Columbus Ave & W 95 St,9 min 32 s,2017-04-30 11:31:24,2017-04-30 11:21:52,"40.7919557,-73.968087","40.804213,-73.96699104",2086,445,2086,444,2086,445,572.0
8 Ave & W 33 St,Central Park West & W 100 St,21 min 59 s,2017-04-29 09:45:34,2017-04-29 09:23:35,"40.793393,-73.9635556","40.751551,-73.993934",6330,1490,6372,1366,6330,1490,1319.0
Lewis Ave & Decatur St,Clinton Ave & Flushing Ave,26 min 54 s,2017-04-23 19:56:06,2017-04-23 19:29:12,"40.69794,-73.96986848","40.6814598,-73.934903",5102,1075,5113,1231,5102,1075,1614.0
Clinton Ave & Flushing Ave,Rivington St & Chrystie St,29 min 37 s,2017-04-23 19:21:59,2017-04-23 18:52:22,"40.72110063,-73.9919254","40.69794,-73.96986848",6184,873,5026,1237,6184,873,1777.0
Rivington St & Chrystie St,Pershing Square South,22 min 40 s,2017-04-23 18:50:14,2017-04-23 18:27:34,"40.751581,-73.97791","40.72110063,-73.9919254",5213,1247,4212,955,5213,1247,1360.0
Pershing Square North,Central Park West & W 100 St,19 min 58 s,2017-04-23 17:58:30,2017-04-23 17:38:32,"40.793393,-73.9635556","40.751873,-73.977706",8363,1374,6497,1477,8363,1374,1198.0
Central Park West & W 100 St,W 52 St & 5 Ave,23 min 30 s,2017-04-22 17:33:30,2017-04-22 17:10:00,"40.75992262,-73.97648516","40.793393,-73.9635556",4979,952,4864,1126,4979,952,1410.0
W 52 St & 5 Ave,W 100 St & Manhattan Ave,17 min 47 s,2017-04-22 15:37:08,2017-04-22 15:19:21,"40.795,-73.9645","40.75992262,-73.97648516",5137,1318,5099,1179,5137,1318,1067.0
W 100 St & Manhattan Ave,Amsterdam Ave & W 73 St,10 min 5 s,2017-04-22 15:12:04,2017-04-22 15:01:59,"40.7796680901,-73.9809304476","40.795,-73.9645",2539,494,2539,528,2539,494,605.0
W 74 St & Columbus Ave,W 100 St & Manhattan Ave,12 min 7 s,2017-04-22 09:07:36,2017-04-22 08:55:29,"40.795,-73.9645","40.7785669,-73.97754961",2582,527,2475,554,2582,527,727.0
W 100 St & Manhattan Ave,W 106 St & Amsterdam Ave,3 min 5 s,2017-04-21 18:01:24,2017-04-21 17:58:19,"40.8008363,-73.9664492472","40.795,-73.9645",933,202,933,231,933,202,185.0
Central Park West & W 100 St,E 58 St & 3 Ave,17 min 58 s,2017-04-20 14:05:00,2017-04-20 13:47:02,"40.76095756,-73.96724467","40.793393,-73.9635556",4793,881,4877,1217,4793,881,1078.0
Fulton St & Adams St,Hoyt St & Warren St,5 min 33 s,2017-04-20 09:02:10,2017-04-20 08:56:37,"40.6843549,-73.98901629","40.6924182926,-73.989494741",1442,472,1571,484,1442,472,333.0
Greenwich Ave & 8 Ave,Cathedral Pkwy & Broadway,27 min 31 s,2017-04-19 17:00:47,2017-04-19 16:33:16,"40.804213,-73.96699104","40.7390169121,-74.0026376103",9697,1586,9937,1877,9697,1586,1651.0
Central Park West & W 100 St,Grand St & Elizabeth St,54 min 30 s,2017-04-09 21:17:41,2017-04-09 20:23:11,"40.718822,-73.99596","40.793393,-73.9635556",11723,1948,10058,2248,11723,1948,3270.0
E 20 St & 2 Ave,Central Park West & W 100 St,36 min 26 s,2017-04-09 13:51:07,2017-04-09 13:14:41,"40.793393,-73.9635556","40.73587678,-73.98205027",9170,1278,8652,1930,9170,1278,2186.0
Broadway & E 22 St,Central Park West & W 100 St,22 min 47 s,2017-04-08 12:44:31,2017-04-08 12:21:44,"40.793393,-73.9635556","40.7403432,-73.98955109",7160,1668,7716,1671,7160,1668,1367.0
W 100 St & Manhattan Ave,W 106 St & Amsterdam Ave,4 min 11 s,2017-04-07 17:50:07,2017-04-07 17:45:56,"40.8008363,-73.9664492472","40.795,-73.9645",933,202,933,231,933,202,251.0
W 100 St & Manhattan Ave,W 106 St & Amsterdam Ave,3 min 1 s,2017-04-06 18:52:28,2017-04-06 18:49:27,"40.8008363,-73.9664492472","40.795,-73.9645",933,202,933,231,933,202,181.0
Cathedral Pkwy & Broadway,E 55 St & 3 Ave,25 min 23 s,2017-04-06 14:00:11,2017-04-06 13:34:48,"40.7589965596,-73.9686539769","40.804213,-73.96699104",6740,1358,6819,1664,6740,1358,1523.0
W 52 St & 5 Ave,E 72 St & York Ave,14 min 17 s,2017-04-06 10:04:07,2017-04-06 09:49:50,"40.76663814,-73.95348296","40.75992262,-73.97648516",4388,980,3191,878,4388,980,857.0
E 72 St & York Ave,Central Park W & W 96 St,16 min 48 s,2017-04-06 09:07:16,2017-04-06 08:50:28,"40.79127,-73.964839","40.76663814,-73.95348296",4247,888,3985,922,4247,888,1008.0
W 100 St & Manhattan Ave,W 107 St & Columbus Ave,2 min 45 s,2017-04-05 20:25:41,2017-04-05 20:22:56,"40.7997568,-73.9621128676","40.795,-73.9645",699,153,699,201,699,153,165.0
Central Park West & W 100 St,Central Park North & Adam Clayton Powell Blvd,28 min 58 s,2017-04-04 17:40:17,2017-04-04 17:11:19,"40.799484,-73.955613","40.793393,-73.9635556",1233,303,1118,305,1233,303,1738.0
W 106 St & Amsterdam Ave,W 52 St & 6 Ave,21 min 45 s,2017-04-04 12:33:40,2017-04-04 12:11:55,"40.7613298312,-73.979820013","40.8008363,-73.9664492472",6596,1133,5630,1339,6596,1133,1305.0
Broadway & W 51 St,Central Park West & W 100 St,18 min 44 s,2017-04-04 09:29:02,2017-04-04 09:10:18,"40.793393,-73.9635556","40.76228826,-73.98336183",4261,989,4591,1025,4261,989,1124.0
